,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022
Aids,1,4,,1,1,2,3,7,2,1,,2,,2,1,2,4,2,,2,2,3,1,,3,,3,1,3,2,1,3,5,2,1,1,3,1,1,1,2,4,3,1,4,4,1,4,4,2,2,1,5,1,,1,,1,1,,1,1,1,,1,,1,,,1,1,4,1,,2,2,3,2,1,2,,2,1,1,,2,3,1,1,1,4,,3,1,1,1,3,2,,1,,,,2,,,2,2,2,1,,1,3,1,1,1,4,2,1,2,1,,1,2,,1,1,1,,2,2,,,1,1,2,3,2,2,4,2,3,,3,,1,3,1,,1,1,1
Apekopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,42,21
Botulisme,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,1,,1,,,,,,1,,,,1,1,3,4,2,1,,,,,2,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,
Brucellose,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,1,,,,,,2,,,1,,,,1,,,,,1,1,,,,,,,,,,1,2,,,,,,,,,,,2,,1,,1,,1,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,1,,
Campylobacteriose,75,99,101,126,138,241,466,596,329,234,185,91,100,83,133,152,201,442,560,505,301,230,168,129,137,113,122,108,164,272,570,530,274,383,192,68,85,81,113,169,252,308,650,593,299,439,184,118,129,95,153,164,266,339,753,541,346,302,182,116,116,80,95,99,143,245,517,412,207,184,114,95,84,81,77,101,140,310,482,413,195,221,140,98,176,140,155,181,221,475,727,673,335,320,313,167,212,145,145,240,255,364,651,608,290,373,253,131,202,170,216,219,242,614,650,633,371,400,272,166,219,151,101,34,65,218,527,536,208,129,123,111,79,58,81,47,101,220,458,377,174,207,177,76,73,65,107,106,161,291,597,549
"Chlamydiainfeksjon, genital",1951,1511,1787,1990,1610,1806,1659,2219,2237,2061,1943,1753,2187,1658,1892,1624,1858,1881,1735,2058,2047,1994,2027,1569,1981,1817,1808,1438,1759,1851,1495,2042,1992,1992,1911,1403,1933,1728,1647,1965,1932,1774,1643,2179,2331,2178,1981,1655,2390,1955,2017,1659,2206,1914,1687,2171,2657,2489,1987,1678,2248,1994,2205,1964,1956,2117,1761,2162,2401,2348,2145,1906,2143,2107,1895,2397,2128,2131,1753,2376,2646,2295,2261,1835,2420,2066,2351,1620,2103,2056,1743,2359,2434,2233,2095,1645,2138,1973,1832,2069,2041,2332,1812,2854,2502,2698,2525,1788,2681,2104,2089,1862,2359,2234,2007,2886,2878,2810,2607,1925,3169,2440,1616,1085,1597,2003,2331,2600,2815,2286,2018,1482,1855,1587,1697,1680,1457,1866,1589,2527,2767,2268,2382,1772,,,,,,,,
Clostridium difficile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,42,15,67,78,56,40,124,90,75,67,90,118,124,125,112,123,139,191,212,182,224,198,213,238,227,225,259,247,221,195,235,179,203,157,150,173,169,211,218,225,234,211,278,271,260,238,255,248,214,265,265,281,269,220,299,226,254,264,234,254,226,318,232,265,273,243,210,201,255,206,212,200,211,260,223,245,271,217,246,248,188,192,238,224,255,230,248,260,263,282,246,194,226,218,230,262,247,283,265,271,277,280,289,198,256,235,271,283,269,303
Cryptosporidose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,1,,17,1,1,,4,1,1,4,3,2,3,5,6,4,1,6,10,11,8,11,2,4,6,4,6,10,6,17,16,6,5,4,7,7,6,15,15,19,21,60,41,24,21,19,17,11,12,18,41,21,33,53,55,55,46,17,19,10,13,11,19,27,37,54,51,40,25,21,13,9,14,25,20,19,50,66,41,38,57,26,31,23,10,10,11,26,28,94,67,51,78,54,30,28,19,13,31,17,31,40,48,35,42,21,30,23,15,17,25,29,36,128
Denguefeber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,4,2,4,3,3,4,7,8,2,4,8,4,5,4,5,3,10,4,2,6,5,6,10,10,2,5,7,6,12,6,9,14,7,,8,19,5,3,9,6,16,9,8,7,2,2,4,3,4,1,4,4,5,2,2,2,3,5,7,4,1,3,1,,6,6,1,2,1,2,5,6,2,2,4,14,11,5,6,4,7,5,12,18,2,13,11,9,9,5,8,2,,2,,,,,,1,,1,,1,,,,,,1,5,1,1,1,,4,,,3,9
Difteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
E. coli EHEC,1,4,5,4,1,2,10,7,4,3,6,4,2,5,5,1,4,6,1,6,7,8,2,2,4,3,2,2,2,3,14,13,7,21,2,2,2,2,4,6,9,7,6,13,20,12,9,13,8,4,7,7,14,10,17,24,11,18,15,16,10,6,10,4,11,15,15,41,36,33,25,15,17,25,9,14,14,17,29,29,29,17,21,18,22,22,19,7,33,40,43,50,55,50,43,22,26,26,29,39,35,43,52,60,58,44,45,37,34,21,26,31,31,32,80,107,53,44,29,23,41,36,22,8,18,19,45,39,31,28,30,14,19,20,23,23,20,40,70,66,56,36,21,44,38,25,35,30,34,39,49,65
E. coli-enteritt,20,9,13,15,11,11,16,24,31,24,47,26,19,19,16,9,10,17,20,25,23,28,25,12,11,12,11,4,4,5,18,27,18,19,18,38,2,6,8,15,5,14,7,25,13,13,13,15,10,14,12,12,16,17,26,37,39,36,20,16,21,37,25,12,19,21,15,25,23,35,24,18,12,16,25,10,14,19,18,28,21,24,13,32,50,58,49,63,64,60,109,129,75,82,106,56,52,59,67,63,47,45,94,147,76,86,90,57,90,66,88,71,62,46,90,153,106,116,85,72,95,70,54,16,8,13,14,16,13,14,10,15,12,20,18,11,17,15,23,28,21,28,29,39,35,36,49,57,58,66,83,166
Ekinokokkose,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,2,,,,,1,,,1,,1,,1,2,1,,1,1,,,3,1,1,,1,,,,2,1,2,,1,,,,,1,,,,,1,,,,1,2,,,1,1,3,1,,2,1,,,,1,2,1,,1,,1,1,,2,,2
Flekktyfus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giardiasis,15,21,33,25,19,18,26,16,22,22,27,18,26,26,17,19,23,15,8,30,13,21,22,14,16,15,29,18,10,20,13,13,10,10,10,15,19,10,22,36,17,11,17,12,21,18,21,23,26,23,28,26,19,22,16,19,26,29,13,18,21,18,26,23,11,19,13,27,23,18,25,24,31,21,37,27,21,24,30,44,25,36,24,23,34,29,33,34,47,33,30,55,48,42,49,51,43,25,33,41,27,24,37,56,40,40,48,51,51,36,43,32,39,50,57,70,46,50,54,50,53,40,30,5,14,10,27,24,19,30,26,21,13,20,26,13,15,10,11,35,34,17,32,39,22,14,15,19,28,30,15,37
Gonore,19,23,29,42,47,41,45,42,38,32,29,24,29,16,26,38,41,27,30,32,28,28,32,43,43,49,35,31,37,30,37,36,37,35,45,30,47,54,38,39,50,44,45,41,41,35,43,28,63,40,45,39,39,45,71,87,64,64,68,55,88,52,64,74,54,61,63,88,77,65,85,80,84,85,78,99,76,84,90,142,100,101,81,76,152,109,121,100,107,103,158,133,120,106,104,86,151,118,117,164,131,158,153,186,142,125,122,90,132,128,123,116,160,128,156,170,137,162,156,136,170,142,104,49,74,89,83,93,80,65,61,35,25,30,34,35,24,29,23,60,63,65,69,98,73,87,95,84,137,161,133,238
Gulfeber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV-infeksjon,21,18,24,19,18,32,20,19,31,20,18,18,29,27,24,18,27,11,18,19,28,28,21,18,24,21,26,16,23,23,18,24,25,15,17,10,26,17,17,23,23,14,18,19,24,19,19,12,21,14,14,30,31,17,22,19,19,24,23,14,17,16,30,13,18,17,25,15,19,17,15,19,30,12,15,14,12,20,15,23,22,23,18,16,20,22,24,13,18,23,17,19,12,23,14,8,22,13,13,14,13,16,15,19,15,17,19,15,16,11,7,13,20,10,11,14,13,23,21,13,10,16,11,10,8,15,8,9,10,11,13,16,10,7,6,7,13,6,5,10,13,7,9,8,17,7,19,26,13,11,12,6
Hemoragisk feber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitt A,7,6,5,1,3,2,2,5,6,3,4,2,4,1,1,1,,1,1,8,1,2,1,1,3,5,6,6,2,1,,4,6,4,1,2,4,14,6,5,2,1,4,,9,1,2,3,2,15,16,10,6,1,1,6,7,5,3,3,3,,4,4,5,2,2,,5,3,3,1,8,4,1,6,2,1,2,5,7,2,3,1,2,1,4,1,,1,4,5,7,13,5,7,5,3,2,3,3,1,1,3,6,2,2,1,3,2,,1,3,1,4,4,7,4,,9,4,4,3,2,1,,,,,,,,,1,1,1,1,1,2,6,10,9,1,,1,1,7,2,1,2,3,1
"Hepatitt B, akutt",2,,4,2,1,4,2,2,2,6,2,,4,3,7,2,4,5,3,5,7,10,2,4,2,3,5,3,4,9,6,7,4,1,,2,3,1,,3,5,1,2,2,4,5,1,3,,1,4,,3,1,3,5,1,2,1,1,1,1,3,,1,,3,2,1,2,2,3,2,1,3,2,2,4,,4,2,3,,,1,3,2,2,3,1,2,1,,2,3,,3,3,,,1,2,,1,,,,2,3,2,1,6,,1,4,1,,1,4,,1,2,,,1,,,,,,,,,1,1,2,,,,,,,,,,,1,,2,1,,2
"Hepatitt B, kronisk",80,38,80,57,52,71,47,54,71,55,59,35,66,51,69,49,54,48,38,45,62,76,74,42,57,62,53,46,50,55,42,51,50,67,58,43,69,61,47,75,54,54,41,51,68,74,60,50,51,52,66,43,49,59,53,50,60,65,67,57,66,75,57,48,57,73,45,57,69,79,99,69,81,93,75,75,69,63,31,46,65,40,62,40,50,39,46,45,36,49,24,36,36,44,24,28,37,32,30,39,21,27,11,37,30,35,30,24,40,30,46,22,41,19,19,31,34,41,32,19,27,24,19,7,11,17,17,18,15,26,18,21,20,21,17,15,24,33,13,26,18,21,19,26,18,23,22,29,33,31,20,31
Hepatitt C,160,155,157,124,132,157,100,155,174,168,141,112,184,123,187,97,128,113,98,157,156,151,139,89,142,134,122,107,129,138,81,135,140,126,137,97,124,104,100,124,109,128,79,106,113,133,119,75,122,86,110,94,103,100,79,102,120,114,90,92,83,117,121,94,83,89,72,103,105,142,99,75,54,81,63,76,62,69,52,66,67,58,68,53,59,56,58,61,51,61,42,61,54,57,46,42,62,52,42,47,53,57,52,58,67,60,52,32,57,48,45,49,33,43,38,40,36,48,48,53,42,41,34,14,27,46,27,22,30,45,32,37,28,36,30,29,32,28,27,27,21,25,34,24,24,31,30,26,34,50,30,30
Influensa A (H1N1),12,7,2,1,,1,,,1,,2,77,476,271,112,22,,,,,,,,3,12,12,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influensa forårsaket av virus med pandemisk potens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikhoste,487,352,375,340,314,269,203,252,241,215,290,252,310,278,280,178,267,242,174,332,362,419,803,760,840,557,385,269,313,272,183,306,261,293,336,228,264,191,134,152,180,206,160,266,258,293,258,247,268,241,268,216,280,217,223,313,249,287,242,229,259,210,169,118,108,112,98,159,138,159,193,181,201,171,145,145,143,144,125,183,210,193,266,279,247,197,209,139,253,211,132,184,156,237,245,214,253,179,130,168,272,267,137,206,156,200,264,238,232,205,198,206,249,179,177,210,235,204,251,188,240,274,165,80,25,8,3,4,6,1,2,3,4,1,3,1,2,10,,2,3,2,5,5,1,,1,1,4,1,1,1
Kolera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,
Kopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koronavirus med utbruddspotensial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5085,2680,653,456,413,1654,3219,6998,15490,13544,13177,8724,24871,16632,12090,5964,6507,23696,27969,18294,63320,126265,408667,458782,142166,18985,7659,13905,8075,4186
Kusma,1,2,1,1,,2,1,2,,,2,,2,2,1,1,2,1,2,,,1,2,2,2,1,1,1,4,,2,2,10,5,2,,4,3,2,2,3,3,3,4,3,3,2,3,,3,,3,,1,1,3,,1,3,3,2,,1,,,,,4,9,59,75,31,5,38,13,6,2,,2,4,5,3,3,2,2,2,4,2,,1,,3,1,3,,,,,2,,1,,4,2,,,1,1,,1,2,,2,6,3,2,1,1,1,1,4,1,1,1,,2,,,,,,,,,,,,,1,,1,,,2,1,,,,,,1,
Legionellose,4,3,5,4,1,6,6,4,5,2,3,5,2,,1,3,4,1,3,3,3,5,5,3,,4,1,2,2,2,3,3,2,2,2,2,3,,2,6,4,6,5,7,5,1,1,,5,3,1,1,2,5,7,7,4,8,4,4,2,5,3,3,1,5,7,7,8,10,4,6,6,1,1,2,3,2,4,9,4,7,3,1,2,3,2,2,7,6,3,5,2,11,6,3,6,6,,2,4,6,11,6,9,9,10,1,,2,3,4,5,8,9,11,7,5,5,6,5,3,6,3,1,4,1,3,5,5,2,1,4,2,3,1,6,4,6,9,3,,2,3,4,1,3,4,8,7,7,8
