,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022
Lepra,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Listeriose,6,,2,1,3,,2,1,1,,2,4,3,3,1,1,,,3,3,2,1,1,3,4,5,1,,2,4,1,2,4,1,3,3,4,,1,1,1,2,1,1,,1,4,5,4,2,2,1,2,4,1,1,4,4,1,3,2,2,,2,1,2,2,1,4,,2,,6,,,2,,1,2,3,4,,,1,3,,1,1,1,,,2,2,6,,1,1,4,,1,,2,,4,2,,5,5,7,1,1,,,3,1,5,3,1,2,3,,4,,,4,5,2,2,6,2,4,8,2,,1,1,1,,3,2,3,2,3,2,4,3,1,2,1,2,3,3
Lyme borreliose,13,9,9,9,7,17,25,48,59,45,27,20,16,8,9,2,12,15,20,40,41,44,26,15,6,6,7,11,11,15,37,40,39,35,32,17,18,7,7,6,11,22,32,45,52,55,38,23,14,11,14,12,20,28,37,47,40,47,33,19,11,9,16,11,13,23,40,68,81,70,53,31,23,19,13,13,14,37,47,69,53,39,59,23,14,22,16,11,18,27,53,80,72,56,36,33,19,11,9,19,19,40,39,87,56,63,40,19,17,13,13,7,15,39,67,89,62,79,57,30,24,17,19,13,18,45,71,78,84,62,53,26,23,11,26,15,28,42,66,73,63,84,70,35,25,11,13,17,32,45,65,70
Lymfogranuloma venerum (LGV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,3,,1,1,5,3,5,2,7,2,3,,2,,,,,,,,,,,,,,3,3,1,,2,1,5,5,3,5,1,,,2
MRSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRSA-infeksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRSA-smittebærertilstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaria,5,2,3,2,1,3,4,6,3,2,3,3,,8,4,,2,5,3,4,3,,2,,,,1,3,4,5,6,10,,3,2,3,8,4,2,2,6,12,11,13,7,8,8,6,5,5,7,9,15,17,11,14,18,5,6,8,6,2,6,4,5,8,10,8,15,12,13,5,7,,9,3,8,10,9,7,4,7,5,6,6,3,3,4,6,6,7,11,5,4,6,,4,3,2,2,3,4,6,9,2,1,4,15,9,10,4,4,10,14,15,13,26,39,26,26,7,12,5,2,1,3,4,2,2,4,,4,9,13,6,8,6,2,1,6,2,3,6,6,11,4,4,2,2,1,2,9
Meslinger,,,,3,,,,,,,,,2,11,10,2,4,5,1,1,2,1,,,,,,1,,,,2,1,,,,,,1,,,7,,,,,,,,,,2,,1,,,,,,,,,2,3,4,,1,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,2,1,,,3,,,2,,1,1,7,3,3,1,,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Miltbrann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nephropathia epidemica,3,,,3,,1,1,3,3,1,3,3,3,5,2,4,3,5,1,4,4,3,4,1,3,1,2,,,,1,1,1,1,2,1,1,3,,,,1,1,1,,4,7,1,4,4,4,2,3,,,4,4,2,7,8,3,4,,1,,,,1,2,,,,,2,,,2,1,,1,2,,,2,2,1,1,2,1,1,,3,1,4,6,4,2,2,2,,1,1,,2,,6,4,1,3,2,1,,,,,1,1,2,1,,,1,,,1,,1,,1,2,2,4,4,3,5,2,,2,1,3,1,5,6,6,,3,2,4,1,,1,1
PRP-infeksjon/-smittebærertilstand,1,2,,,1,,1,,2,1,,,,,,,2,,,,,1,,,,1,5,,1,,1,1,,2,,,1,1,1,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratyfoidfeber,,,1,2,4,1,2,5,2,,1,,1,1,2,1,1,,1,1,1,1,1,,1,,1,,,,1,1,2,,,1,1,,2,1,4,,3,3,,,1,1,1,,2,,1,,,1,1,1,,,1,1,1,1,,,,2,1,,,,2,2,,,1,,1,3,,,,,1,,,,1,1,1,2,,1,1,,2,,1,,,1,,2,2,,,,1,,5,3,1,1,1,1,3,1,1,2,3,2,,1,,,,,,,,,,,1,,1,,,,,1,1,1,,,,2,1,,3,2
Pest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliomyelitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prionsykdommer,,,,1,,,,,1,1,2,,1,1,,,1,,1,,,,,1,,,1,,,1,1,2,,,,,1,1,,1,1,1,1,,2,,1,,2,,,1,,,,1,1,1,,,,1,,,,,1,,3,,2,1,2,,1,2,1,,,,,,1,,2,,,,,,,,1,1,1,1,1,2,1,1,1,,1,1,1,,,1,3,,,,,,2,1,1,,,,1,,,2,,1,,1,1,1,,1,,1,,1,,,,,1,1,,1,,,,1,,,,
Q-feber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,,,1,,1,,1,,,,,,2,,1,1,1,,,,,,,1,,2,,1,2,1,1,,,,,1,2,,,,1,,,,,1,,,,,,,,1,,,,2,,,1,,1,,1,,
Rabies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistent enterokokk,,,,1,1,3,,,2,5,31,11,35,33,31,31,34,45,24,17,16,8,14,3,13,18,14,6,12,9,4,11,40,22,11,11,15,9,8,17,8,9,13,6,20,7,2,4,3,16,18,8,11,7,6,4,7,6,17,7,25,8,2,5,1,4,3,6,5,7,6,9,3,9,6,15,26,15,11,12,12,12,13,6,10,28,23,44,49,36,33,34,20,32,42,33,47,36,31,33,33,28,10,14,2,9,8,12,19,10,16,19,20,21,40,13,17,19,12,12,15,15,13,4,7,3,8,3,4,4,1,7,1,,7,4,2,3,3,4,10,2,4,10,7,5,3,6,9,19,11,13
Resistent gram negativ stav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,6,1,6,2,1,1,1,2,,4,4,1,1,2,1,3,3,2,5,1,1,4,1,6,3,9,5,2,3,3,1,4,6,7,2,12,4,3,6,3,3,7,6,4,8,2,5,5,3,8,2,6,2,5,6,4,4,4,7,,2,5,3,9,9,6,5,9,8,9,2,8,9,5,13,6,6,9,8,12,12,8,15,4,13,12,4,9,3,3,3,8,8,6,8,7,2,,6,3,8,5,3,7,9,9,6,7,9,8,4,7,18,6,70,27,16
Resistent sopp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Rotavirussykdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,48,34,49,40,53,45,25,17,25,22,48,57,35,6,8,15,18,12,8,11,14,4,7,12,10,11,6,9,12,10,6,4,12,17,33,28,72,107,162,109,66,40
Røde hunder,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonellose,76,65,116,90,57,90,168,226,126,128,138,85,79,95,93,66,98,101,123,228,119,119,88,81,77,81,91,65,82,73,159,240,166,142,146,50,69,55,93,112,64,85,194,266,136,116,121,51,118,79,105,63,52,57,113,182,105,130,52,62,39,39,58,49,57,76,111,185,101,101,65,47,47,45,73,67,54,56,94,146,74,80,77,53,58,52,64,65,62,77,105,179,100,106,81,43,83,49,52,58,61,56,119,168,93,103,72,48,79,90,90,56,63,70,138,148,96,101,88,75,90,99,78,17,14,19,20,23,22,16,15,26,20,34,24,32,23,15,29,49,38,30,44,52,36,25,35,36,40,35,75,114
Sars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shewanellainfeksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,11,4,3,1,,1,1,2,,,8,13,7,4,2,1,1,,,,,,3,10,7,6,1,1,1,,2,2,,,,1,8
Shigellose,7,6,6,10,8,7,15,16,7,9,19,22,15,10,11,14,13,12,5,10,6,51,13,3,9,4,4,2,7,6,6,12,5,4,10,8,4,2,6,12,3,2,15,38,5,2,7,8,11,4,10,7,8,6,8,10,8,8,8,5,11,2,6,5,4,8,5,15,8,6,12,3,9,9,4,6,7,5,7,18,3,11,2,2,8,8,7,12,2,5,10,10,8,12,19,14,3,5,5,7,13,4,14,18,9,15,4,5,13,5,12,5,4,7,9,12,16,13,16,21,14,6,6,2,2,3,,,,2,1,1,2,1,2,1,2,1,,2,2,7,10,3,4,3,4,3,10,5,2,10
Syfilis,5,11,4,8,12,15,12,14,11,8,5,13,12,8,13,10,18,9,8,8,8,9,15,12,10,9,16,3,9,9,8,12,3,9,13,8,20,12,19,19,15,14,16,17,12,19,10,12,18,11,20,18,12,17,15,15,21,10,20,12,9,20,14,11,12,12,11,21,9,17,23,13,15,24,18,12,10,11,8,19,21,18,16,16,20,20,21,14,27,15,15,23,17,20,14,18,13,16,17,24,18,18,20,19,18,25,19,24,19,20,25,10,19,18,10,20,13,17,18,17,26,23,26,15,20,31,25,30,28,16,31,17,27,26,15,8,13,6,7,10,9,14,17,11,15,16,22,7,13,15,11,8
Syst. H. influenzae-sykdom,4,3,9,6,8,7,6,2,9,12,9,13,14,5,5,8,7,5,2,10,10,8,4,7,3,6,12,6,10,5,5,5,2,4,6,14,9,6,6,4,10,9,8,4,9,6,9,6,8,2,1,5,7,10,6,4,5,8,7,8,4,4,7,7,8,7,7,13,5,11,13,12,7,6,2,6,4,6,6,13,5,12,7,11,12,11,8,9,8,12,12,9,14,9,11,5,14,5,13,5,15,4,6,2,4,7,10,6,7,9,5,5,8,8,7,5,11,7,7,18,6,5,7,5,,2,3,2,,2,4,4,,2,2,1,,6,2,3,8,9,11,14,9,3,7,9,16,13,11,8
Syst. gr. A streptokokksykdom,14,19,29,15,7,7,5,9,4,13,12,28,17,28,21,20,13,16,11,12,6,10,7,18,13,9,8,8,16,12,14,10,7,9,8,27,29,21,18,25,10,13,14,7,7,13,11,22,18,19,21,16,12,19,20,10,6,15,16,17,27,25,17,21,24,13,22,13,7,7,8,22,23,25,17,18,27,13,17,10,8,11,8,20,30,25,33,22,17,12,20,16,12,14,23,29,31,30,40,29,23,18,11,11,13,8,10,12,28,26,31,16,17,18,12,8,15,18,16,22,36,34,23,11,9,7,8,7,3,9,10,7,13,6,7,9,5,7,5,8,6,8,10,7,7,5,9,14,10,5,10,13
Syst. gr. B streptokokksykdom,15,6,14,20,12,15,15,11,17,12,11,18,16,11,19,15,18,22,8,17,14,15,14,22,14,14,13,13,18,29,16,19,18,16,18,16,17,14,13,14,19,20,16,20,23,14,13,18,29,14,15,11,14,23,10,22,20,20,17,14,12,11,23,20,23,18,12,24,19,20,22,25,20,15,21,13,21,20,25,24,23,26,14,24,22,25,17,19,15,17,14,16,29,18,19,19,25,13,25,24,19,21,21,25,16,23,22,26,22,22,23,27,25,29,22,30,26,38,30,23,26,21,18,29,22,25,22,21,25,20,21,33,25,21,23,29,27,29,28,21,25,24,26,38,27,23,33,20,34,23,26,30
Syst. meningokokksykdom,3,1,5,3,10,4,3,1,5,,,4,3,2,5,2,7,2,3,2,2,5,2,3,4,2,3,,1,3,4,1,,2,3,1,4,1,2,2,6,5,1,,3,,1,2,1,1,2,2,3,,1,1,2,2,2,1,1,4,3,1,2,,,3,3,,,2,3,7,2,,2,1,3,1,,3,,2,1,1,1,,5,1,3,1,2,1,2,,2,8,1,1,4,1,2,1,1,3,,2,1,,3,1,2,1,2,1,3,1,1,,1,,,,,1,,,1,2,,,,,1,,,1,,1,,,1,1,,1,,,,1,1,3
Syst. pneumokokksykdom,55,49,65,80,69,54,55,18,75,65,67,95,87,62,75,69,65,38,26,31,61,62,64,88,54,57,65,72,54,45,32,21,41,35,61,89,92,61,64,57,61,43,27,20,41,44,37,73,56,47,49,51,48,41,26,16,61,56,48,70,57,51,51,49,39,27,22,25,50,42,40,69,65,53,40,51,62,47,26,25,29,46,53,102,80,48,44,48,61,39,23,21,43,41,43,68,62,68,53,51,50,32,33,19,54,46,59,55,50,59,46,64,52,42,41,21,38,56,58,72,59,57,33,13,9,11,27,19,19,20,14,13,15,9,9,14,21,13,21,17,43,49,48,59,23,32,45,62,69,37,27,18
Tetanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilbakefallsfeber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trikinose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuberkulose,18,21,29,27,26,36,19,29,19,37,36,39,34,38,29,25,40,28,18,29,25,33,28,27,31,40,32,25,34,26,32,37,24,41,35,17,32,29,23,46,43,41,23,35,22,44,25,28,28,24,29,32,40,31,26,19,27,21,21,24,24,20,30,26,16,34,20,30,32,22,30,29,35,28,18,28,23,29,15,32,33,19,20,16,27,19,29,27,18,14,20,17,24,19,21,26,12,10,15,27,24,13,15,24,18,20,20,10,19,11,18,11,21,11,9,13,16,15,9,17,19,11,11,17,12,22,16,9,11,13,11,8,10,12,14,8,13,11,18,14,16,20,14,16,11,20,18,13,18,18,12,13
Tularemi,5,,,2,,,,3,5,5,9,4,11,20,18,8,3,3,4,19,11,19,39,25,7,11,1,1,2,3,2,4,6,8,3,2,,,1,5,,2,4,4,4,4,3,1,1,1,1,2,,,3,1,12,11,12,2,2,1,1,4,1,1,1,2,13,10,3,3,4,3,3,10,1,,2,2,8,3,3,1,6,1,1,,,2,,2,14,23,30,13,8,6,4,1,1,1,4,4,4,16,6,3,3,1,,,1,,3,74,59,32,8,2,3,2,,1,,2,3,15,20,15,23,15,7,2,7,2,1,3,7,15,20,16,11,4,3,1,3,,,4,5,11
Tyfoidfeber,,1,,3,1,,1,8,,,,2,,1,,3,2,2,1,1,2,,2,1,1,1,2,,1,1,2,1,2,,1,1,,,1,1,2,,1,1,1,1,2,,2,,,,,,1,1,1,1,,1,,1,,,1,1,,1,,,1,2,3,2,1,3,2,,1,1,1,1,1,,,,1,2,2,,,4,,,2,1,1,1,1,1,4,,3,3,6,,1,2,1,3,3,1,1,1,1,1,,1,,,1,1,4,,,,,1,,,,,,1,1,1,,,,1,1,,1,,,,,,,1,,2
Vestnilfeber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrioinfeksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,15,6,5,6,2,6,,,4,1,9,12,12,3,1,3,1,,1,2,1,1,,19,13,7,1,,1,,3,3,,1,2,10,25
Virale infeksjoner i sentralnervesystemet,6,7,6,10,10,14,6,23,30,17,31,14,7,7,7,13,9,35,53,36,45,46,33,20,15,6,14,7,12,34,43,28,31,31,38,11,4,8,14,11,13,15,27,26,37,33,29,33,30,17,33,11,24,34,31,35,27,31,31,30,12,5,7,12,11,20,24,19,33,39,23,30,11,5,19,21,22,41,40,33,25,28,22,21,8,9,17,11,18,29,44,26,44,47,40,30,20,17,28,25,36,91,84,58,46,54,24,24,17,16,19,13,20,24,31,35,35,35,36,19,23,14,23,13,19,19,22,18,28,23,23,19,10,16,13,16,17,27,29,37,26,22,16,12,14,11,17,11,24,32,41,48
Yersiniose,6,3,,5,1,8,5,8,5,4,4,4,6,3,18,6,,5,2,6,2,8,3,1,3,2,2,1,2,4,6,5,4,6,4,4,4,3,4,6,7,6,1,4,4,8,4,5,18,5,4,14,121,7,7,12,5,1,13,4,12,3,4,7,,7,10,6,3,2,13,9,14,1,3,6,3,7,4,7,3,4,4,1,11,1,6,2,1,6,3,9,8,4,9,7,18,2,3,5,22,12,5,10,4,7,10,7,12,10,8,,8,3,5,7,6,5,7,14,12,5,2,3,13,14,1,2,2,5,15,9,4,11,2,13,19,1,3,3,9,7,2,11,25,11,9,5,6,14,10,2
Zikafeber-infeksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
